uf,year,pib_nominal_mil
AC,2002,2971301
AC,2003,3377234
AC,2004,3784003
AC,2005,4300581
AC,2006,4661807
AC,2007,5458172
AC,2008,6410255
AC,2009,7407821
AC,2010,8342356
AC,2011,8949434
AC,2012,10137925
AC,2013,11473930
AC,2014,13458698
AC,2015,13622802
AC,2016,13754240
AC,2017,14272941
AC,2018,15331123
AC,2019,15630017
AC,2020,16476371
AC,2021,21374440
AC,2022,23676136
AC,2023,26291321
AL,2002,11536853
AL,2003,12624030
AL,2004,14044907
AL,2005,15484521
AL,2006,17395671
AL,2007,19871266
AL,2008,22262295
AL,2009,24182388
AL,2010,27133038
AL,2011,31657321
AL,2012,34650397
AL,2013,37282529
AL,2014,40974994
AL,2015,46367211
AL,2016,49468741
AL,2017,52851067
AL,2018,54413047
AL,2019,58963729
AL,2020,63202349
AL,2021,76265620
AL,2022,76065806
AL,2023,89688932
AM,2002,22093338
AM,2003,25862134
AM,2004,31090696
AM,2005,33980877
AM,2006,39933213
AM,2007,43479773
AM,2008,48115265
AM,2009,50559840
AM,2010,60877123
AM,2011,70734401
AM,2012,72242701
AM,2013,83051233
AM,2014,86668644
AM,2015,86568184
AM,2016,89039782
AM,2017,93240191
AM,2018,100109235
AM,2019,108181091
AM,2020,116019139
AM,2021,131531038
AM,2022,145140465
AM,2023,161794976
AP,2002,3173343
AP,2003,3413195
AP,2004,3824740
AP,2005,4306410
AP,2006,5280822
AP,2007,6012523
AP,2008,6950413
AP,2009,7490656
AP,2010,8237795
AP,2011,9409228
AP,2012,11130868
AP,2013,12763486
AP,2014,13400284
AP,2015,13861293
AP,2016,14342135
AP,2017,15481908
AP,2018,16795207
AP,2019,17496661
AP,2020,18469115
AP,2021,20099851
AP,2022,23614291
AP,2023,28020120
BA,2002,58842976
BA,2003,67174227
BA,2004,77931725
BA,2005,88291883
BA,2006,95347802
BA,2007,109329528
BA,2008,121667455
BA,2009,137942481
BA,2010,154419547
BA,2011,166602817
BA,2012,182572530
BA,2013,204844274
BA,2014,223929966
BA,2015,245043690
BA,2016,258738970
BA,2017,268724090
BA,2018,286239541
BA,2019,293240504
BA,2020,305320813
BA,2021,352617852
BA,2022,402646606
BA,2023,430987853
CE,2002,28718840
CE,2003,32687418
CE,2004,36890816
CE,2005,41059459
CE,2006,46500321
CE,2007,50818749
CE,2008,60415574
CE,2009,67199958
CE,2010,79336299
CE,2011,89695828
CE,2012,96973753
CE,2013,109036556
CE,2014,126054472
CE,2015,130629849
CE,2016,138422521
CE,2017,147921534
CE,2018,155903825
CE,2019,163575327
CE,2020,166914536
CE,2021,194884802
CE,2022,213600674
CE,2023,232239257
DF,2002,53902200
DF,2003,58456124
DF,2004,67076505
DF,2005,75732681
DF,2006,84661406
DF,2007,93404001
DF,2008,110299557
DF,2009,124323753
DF,2010,144174102
DF,2011,154568954
DF,2012,164101336
DF,2013,175906726
DF,2014,197432059
DF,2015,215612863
DF,2016,235540045
DF,2017,244722249
DF,2018,254817205
DF,2019,273613711
DF,2020,265847334
DF,2021,286943782
DF,2022,328789563
DF,2023,365669108
ES,2002,27048997
ES,2003,31519106
ES,2004,39732638
ES,2005,47020588
ES,2006,53463868
ES,2007,60658395
ES,2008,72091158
ES,2009,69215361
ES,2010,85310285
ES,2011,105976222
ES,2012,116850581
ES,2013,117274347
ES,2014,128783781
ES,2015,120365980
ES,2016,109264423
ES,2017,113399937
ES,2018,137020055
ES,2019,137345595
ES,2020,138445922
ES,2021,186336505
ES,2022,182548590
ES,2023,209829732
GO,2002,38629365
GO,2003,45557889
GO,2004,51103815
GO,2005,53865113
GO,2006,61375403
GO,2007,71410568
GO,2008,82417564
GO,2009,92865743
GO,2010,106770109
GO,2011,121296721
GO,2012,138757825
