id_ente,uf,year,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida
12,AC,2002,NA,NA,NA,NA,NA,NA
12,AC,2003,NA,NA,NA,NA,NA,NA
12,AC,2004,NA,NA,NA,NA,NA,NA
12,AC,2005,NA,NA,NA,NA,NA,NA
12,AC,2006,NA,NA,NA,NA,NA,NA
12,AC,2007,NA,NA,NA,NA,NA,NA
12,AC,2008,NA,NA,NA,NA,NA,NA
12,AC,2009,NA,NA,NA,NA,NA,NA
12,AC,2010,NA,NA,NA,NA,NA,NA
12,AC,2011,NA,NA,NA,NA,NA,NA
12,AC,2012,NA,NA,NA,NA,NA,NA
12,AC,2013,NA,NA,NA,NA,NA,NA
12,AC,2014,NA,NA,NA,NA,NA,NA
12,AC,2015,3822957.49962,3949107.68738,-143987.04841999998,NA,4696419.4015,187151.37297
12,AC,2016,3228313.64558,4442141.0709,373987.37885000004,NA,4865218.39241,180307.45355
12,AC,2017,3212204.81978,4471916.24014,41494.96336,NA,5477768.10841,170313.1703
12,AC,2018,3565447.36166,4846051.636630001,74226.66063,5583813.30799,5416448.9569,179469.20902
12,AC,2019,3116891.7147600004,5357455.83349,676641.6310299999,6105616.08483,5418947.8436199995,197980.22686000002
12,AC,2020,3337029.84169,5702871.32041,577899.78852,6428149.94683,5716209.76941,109636.55259
12,AC,2021,2847799.0483000004,6690645.7354,627542.32173,7419063.05801,6617345.82774,130254.72325
12,AC,2022,2505321.6001999998,7994706.97825,265003.55109,8724403.70109,8308883.71889,164185.62499
12,AC,2023,2051523.7075999998,8573004.13341,419049.03745999996,9961845.149389999,9384434.866360001,232896.55865
12,AC,2024,1978574.8443,10111234.20799,669889.2959,11680739.82748,10807134.748200001,232643.61212
27,AL,2002,NA,NA,NA,NA,NA,NA
27,AL,2003,NA,NA,NA,NA,NA,NA
27,AL,2004,NA,NA,NA,NA,NA,NA
27,AL,2005,NA,NA,NA,NA,NA,NA
27,AL,2006,NA,NA,NA,NA,NA,NA
27,AL,2007,NA,NA,NA,NA,NA,NA
27,AL,2008,NA,NA,NA,NA,NA,NA
27,AL,2009,NA,NA,NA,NA,NA,NA
27,AL,2010,NA,NA,NA,NA,NA,NA
27,AL,2011,NA,NA,NA,NA,NA,NA
27,AL,2012,NA,NA,NA,NA,NA,NA
27,AL,2013,NA,NA,NA,NA,NA,NA
27,AL,2014,NA,NA,NA,NA,NA,NA
27,AL,2015,10555304.801520001,6328523.88774,733320.00879,NA,7028515.9485,257574.12062
27,AL,2016,7863514.89518,7646527.4437299995,1138364.9253399998,NA,9417493.15932,136739.75350999998
27,AL,2017,7000340.86415,7348618.7753,363877.09955,NA,9965967.38659,210710.33276
27,AL,2018,6816346.13058,7962976.44089,624932.3455599999,8198000.135810001,7827749.08862,326395.28069
27,AL,2019,6404121.91862,8559007.20196,1000851.51774,8900266.46399,7920439.63009,962708.29261
27,AL,2020,5813489.668409999,10059495.938649999,1322519.59175,10727583.37847,9050981.87159,962245.97077
27,AL,2021,4758264.282229999,12528914.43601,1512459.09144,12924340.804860001,11351500.112639999,807960.18932
27,AL,2022,7245315.32333,13177911.88617,-1919997.4156900002,13394974.158569999,14348891.79036,854284.74925
