
ano,receitas_primarias,despesas_primarias,resultado_primario,estado
2002,1.0658260041399998,1.00316058509,0.06266541904999978,AC
2003,1.1228423509999998,1.019133958,0.10370839299999979,AC
2004,1.28065180577,1.1913226214700001,0.08932918429999992,AC
2005,1.59449673855,1.47819545219,0.11630128635999992,AC
2006,1.83240770409,1.9229314475900001,-0.09052374350000014,AC
2007,2.03167826056,1.8878692160300001,0.14380904452999999,AC
2008,2.5915977189,2.3752050999899996,0.2163926189100005,AC
2009,2.88695933412,3.12524004297,-0.23828070884999963,AC
2010,3.0272732238400004,3.45020416004,-0.4229309361999998,AC
2011,3.2849883352500004,3.1928665184700002,0.0921218167800002,AC
2012,3.49885010658,3.8760573379600003,-0.37720723138000034,AC
2013,3.92955256638,4.271845624609999,-0.3422930582299992,AC
2014,4.524320812689999,4.86180220443,-0.3374813917400008,AC
2002,1.9768168624199998,1.6035215592600003,0.3732953031599995,AL
2003,2.04509450589,1.90470364674,0.14039085914999982,AL
2004,2.3269845078200007,2.1157987208000004,0.21118578702000024,AL
2005,2.6606096413800002,2.4487510400900003,0.2118586012899999,AL
2006,2.9124354615400003,2.53723877516,0.37519668638000025,AL
2007,3.25898890901,2.65897029831,0.6000186107000003,AL
2008,3.66405466424,3.2333618925599996,0.4306927716800004,AL
2009,3.783276451760001,3.6915698992199997,0.09170655254000115,AL
2010,4.759732634330001,4.45601545447,0.30371717986000046,AL
2011,4.938085236040001,4.39022161302,0.5478636230200014,AL
2012,5.40799188563,4.86558107031,0.5424108153200002,AL
2013,5.920955218079998,5.36335965567,0.5575955624099977,AL
2014,6.491208186910001,6.46541188505,0.025796301860000703,AL
2002,2.958544357160001,2.9567738859399997,0.0017704712200012906,AM
2003,3.05373510908,2.90227831761,0.1514567914699998,AM
2004,3.72467420105,3.55067422925,0.17399997179999982,AM
2005,4.292172440190001,4.18849394205,0.10367849814000074,AM
2006,4.68481217759,4.57790447664,0.1069077009499999,AM
2007,5.33248943526,5.039882521170001,0.2926069140899994,AM
2008,6.384413886890001,6.273119025979999,0.11129486091000196,AM
2009,6.2534812456500015,7.21370192518,-0.9602206795299981,AM
2010,7.543035383789997,7.927671376889999,-0.3846359931000025,AM
2011,8.59726826765,8.35941693633,0.23785133131999991,AM
2012,9.798873199649996,9.45502277688,0.34385042276999656,AM
2013,10.88832455391,11.51044566891,-0.6221211150000006,AM
2014,11.500145492069999,12.486774007449998,-0.9866285153799996,AM
2002,0.91163341575,0.8998309140599999,0.011802501690000078,AP
2003,0.9413756831500002,0.92952098152,0.011854701630000242,AP
2004,1.1824063415599997,1.1594605829700002,0.022945758589999476,AP
2005,1.4042220526699996,1.2372743691800003,0.16694768348999922,AP
2006,1.58701393939,1.5544769859,0.032536953489999965,AP
2007,1.8566694433000002,1.66158276058,0.19508668272000018,AP
2008,2.23310851622,2.0529140777899997,0.1801944384300005,AP
2009,2.02820288548,2.12688599664,-0.09868311116000017,AP
2010,2.2746340415099997,2.3529288874199996,-0.07829484590999991,AP
2011,2.69047164281,2.39687166587,0.29359997693999995,AP
2012,2.97229441021,2.9854367725200004,-0.013142362310000433,AP
2013,3.3678095353799997,3.9978511507,-0.6300416153200001,AP
2014,3.55669337384,3.9174075107299995,-0.36071413688999954,AP
2002,7.484788484110001,6.73423217017,0.7505563139400007,BA
2003,8.38979325645,7.814266515520001,0.5755267409299991,BA
2004,10.091864605119996,9.192221543630001,0.8996430614899946,BA
2005,10.978153401770001,9.976349765590001,1.00180363618,BA
2006,11.96861762472,10.90246096381,1.06615666091,BA
2007,13.386506192949998,11.74617157613,1.6403346168199988,BA
2008,15.101563379399998,13.82093154932,1.280631830079999,BA
2009,16.02813184616,15.55365607007,0.47447577609000113,BA
2010,19.225802570810004,18.51997581258,0.7058267582300033,BA
2011,21.00497589335,20.307132807419997,0.6978430859300033,BA
2012,23.945148892690003,22.50742139568,1.4377274970100018,BA
2013,25.05740270228,25.29023309249,-0.23283039020999752,BA
2014,28.53029061876,28.046229701189997,0.4840609175700017,BA
2002,4.26002936713,3.98247866445,0.2775507026799997,CE
2003,4.622740583110001,4.168408093299999,0.4543324898100014,CE
2004,5.036213769300001,4.7189550244200005,0.31725874488000017,CE
2005,5.68945282954,5.122161795590001,0.5672910339499992,CE
2006,7.05923685902,6.83701662846,0.2222202305600005,CE
2007,7.15912662099,6.236434114020001,0.9226925069699998,CE
2008,8.597094548059998,7.67021304157,0.9268815064899973,CE
2009,9.316338373159999,9.67413275192,-0.3577943787600013,CE
2010,10.86186678354,12.167888178419998,-1.3060213948799984,CE
2011,12.24241239512,12.49473857256,-0.25232617743999874,CE
2012,12.51542058492,12.71064719163,-0.19522660671000125,CE
2013,14.0619404007,14.14304427881,-0.0811038781100013,CE
2014,15.549432914929998,17.112833466930002,-1.5634005520000045,CE
2002,4.09081,3.9608693492300002,0.12994065077000005,DF
2003,5.1001199999999995,4.923420338890001,0.1766996611099989,DF
2004,5.8263825034700005,5.596740706239999,0.2296417972300011,DF
2005,6.770132432149999,6.571632745740001,0.19849968640999816,DF
2006,7.7210730389,7.664874870919998,0.056198167980002545,DF
2007,8.490951070360001,7.846433698469999,0.6445173718900019,DF
2008,10.02220384456,9.74349090074,0.27871294382000045,DF
2009,10.940127693089998,11.259281627810001,-0.31915393472000275,DF
2010,11.97802333479,11.75948944872,0.21853388607000035,DF
2011,13.376038680249998,13.11226181118,0.2637768690699982,DF
2012,15.08636763517,14.979044996790002,0.10732263837999767,DF
2013,16.35506391325,16.72035826043,-0.36529434718000076,DF
2014,17.771260096080006,17.653230498879996,0.11802959720001027,DF
2002,2.72047541603,2.75685920618,-0.03638379014999993,ES
2003,3.53148650338,3.02146748544,0.5100190179399999,ES
2004,4.22181016803,3.77010572408,0.4517044439500002,ES
2005,5.056072396180001,4.5032599838900005,0.5528124122900007,ES
2006,5.486636102530001,5.27455563012,0.21208047241000116,ES
2007,6.36736189456,6.061600933940001,0.3057609606199989,ES
2008,7.81844005804,6.89767618801,0.92076387003,ES
2009,7.4745982706,7.857851392790001,-0.38325312219000107,ES
2010,8.19284809507,9.21017866407,-1.0173305690000003,ES
2011,9.75555955727,9.656730271929998,0.09882928534000257,ES
2012,10.90585658861,10.611416444329999,0.2944401442800011,ES
2013,10.58502923286,11.380048947620004,-0.795019714760004,ES
2014,11.810508132729996,12.946668841200001,-1.1361607084700047,ES
2002,4.10554464176,3.75359614183,0.35194849992999977,GO
2003,4.614207728062,4.37179949859,0.2424082294720007,GO
2004,5.355462410810001,5.1551623952700005,0.20030001554000076,GO
2005,6.064180540560001,5.740570569160001,0.3236099713999998,GO
2006,6.532803289784999,6.003367794859999,0.529435494925,GO
2007,7.419167338877999,7.006824452309999,0.4123428865680001,GO
2008,8.795643117719,8.08811103215,0.7075320855690013,GO
2009,8.971963215400999,8.62725131701,0.34471189839099914,GO
2010,10.163625273018999,10.33544149263,-0.17181621961100113,GO
2011,12.457468791696996,10.95732293763,1.5001458540669965,GO
2012,13.986894731796001,14.100356867390001,-0.1134621355940002,GO
2013,15.715035571775,14.95596895803,0.7590666137449986,GO
2014,16.98984832261,17.199847317040003,-0.20999899443000203,GO
2002,2.753329952,2.8388708813399997,-0.08554092933999957,MA
2003,2.7424966247500002,2.96997567557,-0.22747905081999997,MA
2004,3.169640286740001,2.53329399663,0.636346290110001,MA
2005,3.886501617320001,2.8400619756,1.046439641720001,MA
2006,4.40811344237,3.75939466133,0.6487187810400004,MA
2007,5.09507421479,3.96896436739,1.1261098474000004,MA
2008,6.22298949077,5.132174771499999,1.0908147192700008,MA
2009,6.404868365899998,6.0549429703,0.3499253955999979,MA
2010,6.72022111132,6.71741530387,0.0028058074499996977,MA
2011,8.102554088589999,7.03342938027,1.0691247083199986,MA
2012,9.108991765089998,8.24219081849,0.866800946599998,MA
2013,9.6844339797,9.413382517339999,0.2710514623600009,MA
2014,10.61255967121,11.699095197910001,-1.0865355267000005,MA
2002,12.4681820007205,12.53708696236,-0.06890496163950033,MG
2003,12.8806317783575,12.74359910005,0.13703267830750043,MG
2004,15.9718042181895,14.733345507,1.2384587111895016,MG
2005,18.684490370182996,16.98345539099,1.7010349791929968,MG
2006,21.395891424853502,19.64023992428,1.755651500573503,MG
2007,24.0773906782725,21.943201426549997,2.1341892517225034,MG
2008,29.526220886416002,26.82431404062,2.701906845796003,MG
2009,29.700413873009996,27.765582176719995,1.9348316962900007,MG
2010,33.83386512574,31.411074213519996,2.4227909122200018,MG
2011,37.841496667090006,34.458414546490005,3.383082120600001,MG
2012,41.448060870700004,41.5494535367,-0.1013926659999953,MG
2013,43.78106402464,43.47029454602999,0.3107694786100126,MG
2014,49.41761664332999,49.09934615719,0.3182704861399941,MG
2002,1.96351425327,1.84899868499,0.11451556828000009,MS
2003,2.3491769529999997,2.4751839721099995,-0.12600701910999978,MS
2004,2.93111973722,2.9577438604300004,-0.026624123210000405,MS
2005,3.0917306576100003,3.02530209409,0.06642856352000015,MS
2006,3.5557523489700005,3.4028244351900003,0.15292791378000015,MS
2007,4.09763240697,3.22894458879,0.8686878181799997,MS
2008,5.03062799742,4.31015787884,0.7204701185799998,MS
2009,5.101146415490001,5.076677588540001,0.024468826949999745,MS
2010,5.627195166029999,5.51949794937,0.1076972166599992,MS
2011,6.47064796556,6.25134731058,0.2193006549800005,MS
2012,7.084891869550002,6.51634131565,0.5685505539000015,MS
2013,7.777791901179999,7.458976405710001,0.3188154954699973,MS
2014,8.88170134119,9.02827504495,-0.14657370375999967,MS
2002,2.3455438300899996,2.4658008621299996,-0.12025703204000004,MT
2003,2.7649627553250005,2.70332869369,0.0616340616350004,MT
2004,3.83954498584,3.2776471322099994,0.5618978536300006,MT
2005,4.352418578339999,3.74762287564,0.6047957026999993,MT
2006,4.691453791599999,4.08028943728,0.6111643543199987,MT
2007,5.350720792320001,4.36738544897,0.9833353433500003,MT
2008,6.23616892465,5.43742966069,0.79873926396,MT
2009,6.675280052849999,6.5289753388300005,0.14630471401999845,MT
2010,7.388473280739998,6.7028402393599995,0.6856330413799983,MT
2011,8.029834905860001,7.31807940759,0.7117554982700014,MT
2012,9.10586810469,8.23287707026,0.8729910344299991,MT
