uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,dcl_hist,rcl_hist,dcl_sobre_rcl_hist,dcl_sobre_rcl_ext,fonte_dcl_rcl,pib_nominal_mil,pib_real_mil,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,teto,d_lag1,d_lag2,yvar,d_lag1_teto,d_lag2_teto,primario_teto
AC,Acre,12,2002,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,703747,970673,0.73,0.73,SISTN,2971301,5009214.913420785,NA,15.42678975687368,12.530337079575029,63.824270157497885,12,NA,NA,429619.85388529545,NA,NA,NA
AC,Acre,12,2003,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,694081,1023480,0.68,0.68,SISTN,3377234,4963248.376244091,-0.9176395497334178,15.417570998903496,9.299949329235147,69.75989494189933,12,0.73,NA,-54579.0110729834,8.76,NA,NA
AC,Acre,12,2004,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,718119,1156660,0.62,0.62,SISTN,3784003,5216837.077166879,5.1093292476869445,15.467401852298348,7.600644138060453,75.06209630751793,12,0.68,0.73,-243518.83647063404,8.16,8.76,NA
AC,Acre,12,2005,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,655896,1466890,0.45,0.45,SISTN,4300581,5547871.420841483,6.345498982965747,15.52892488438072,5.68973334585865,79.3329294312273,12,0.62,0.68,-363059.6260834435,7.4399999999999995,8.16,NA
AC,Acre,12,2006,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,844825,1635875,0.52,0.52,SISTN,4661807,5772363.976515285,4.046462843937926,15.568592255882097,3.141774968304434,81.82539154972024,12,0.45,0.62,-598504.0307274511,5.4,7.4399999999999995,NA
AC,Acre,12,2007,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,794953,1933479,0.41,0.41,SISTN,5458172,6520990.239871088,12.969145161351058,15.690536799651492,4.457330433237816,85.47261962938191,12,0.52,0.45,-316861.1785224315,6.24,5.4,NA
AC,Acre,12,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,632092,2223257,0.28,0.28,SISTN,6410255,7246959.392004009,11.132805378148714,15.796092544654169,5.902313417525495,90.51748152607746,12,0.41,0.52,-56621.47186857801,4.92,6.24,NA
AC,Acre,12,2009,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,896478,2453090,0.37,0.37,SISTN,7407821,7984445.657914413,10.176492319304488,15.893005914292678,4.312028329689999,94.42062097280385,12,0.28,0.41,227858.3425243938,3.3600000000000003,4.92,NA
AC,Acre,12,2010,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423022,2648933,0.54,0.54,SISTN,8342356,8560363.694490673,7.212999640186579,15.962653234889494,5.909068347266233,100,12,0.37,0.28,375528.16455345746,4.4399999999999995,3.3600000000000003,NA
AC,Acre,12,2011,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498775,2975828,0.5,0.5,SISTN,8949434,8611796.14359645,0.6008208405780424,15.968643465982838,6.503109040628852,106.50310904062886,12,0.54,0.37,33227.29566563212,6.48,4.4399999999999995,NA
AC,Acre,12,2012,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917189,3281195,0.58,0.58,SISTN,10137925,9255324.835402137,7.472641956163817,16.04070960174248,5.838568997639149,112.7213665465968,12,0.5,0.54,323538.9439691346,6,6.48,NA
AC,Acre,12,2013,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2535080,3700351,0.69,0.69,SISTN,11473930,9863090.494066624,6.566659403889852,16.10431011499965,5.910818080013791,119.38412146047168,12,0.58,0.5,624272.9386040235,6.959999999999999,6,NA
AC,Acre,12,2014,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3153725,4267231,0.74,0.74,SISTN,13458698,10880563.397056188,10.315964388663446,16.20248858086905,6.407616596391952,127.0337982406296,12,0.69,0.58,1383333.2725780504,8.28,6.959999999999999,NA
