uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_hist,rcl_hist,dcl_sobre_rcl_hist,encargos_hist,dcl_sobre_rcl_ext,fonte_dcl_rcl,rcl_ext,encargos_ext,encargos_sobre_rcl_ext,fonte_encargos,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,pib_nominal_mil,pib_real_mil,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,teto,d_lag1,d_lag2,yvar,d_lag1_teto,d_lag2_teto,primario_teto,d_quebra_serie,primario_sobre_rcl_hist,primario_sobre_rcl_ext,fonte_primario
AC,Acre,12,2002,1,0,0,NA,NA,NA,NA,NA,NA,703747,970673,0.73,34819.045,0.73,SISTN,970673,34819.045,0.03587103483871499,STN-Servico,NA,NA,NA,2971301,5009214.913420785,NA,15.42678975687368,12.530337079575029,63.824270157497885,12,NA,NA,429619.85388529545,NA,NA,0.7747047961568905,0,0.0645587330130742,0.0645587330130742,FINBRA
AC,Acre,12,2003,0,1,0,NA,NA,NA,NA,NA,NA,694081,1023480,0.68,59716,0.68,SISTN,1023480,59716,0.05834603509594716,STN-Servico,NA,NA,NA,3377234,4963248.376244091,-0.9176395497334178,15.417570998903496,9.299949329235147,69.75989494189933,12,0.73,NA,-54579.0110729834,8.76,NA,1.215950205182317,0,0.10132918376519308,0.10132918376519308,FINBRA
AC,Acre,12,2004,0,0,0,NA,NA,NA,NA,NA,NA,718119,1156660,0.62,35342.73795,0.62,SISTN,1156660,35342.73795,0.03055585733923538,STN-Servico,NA,NA,NA,3784003,5216837.077166879,5.1093292476869445,15.467401852298348,7.600644138060453,75.06209630751793,12,0.68,0.73,-243518.83647063404,8.16,8.76,0.9267634495876048,0,0.07723028746563373,0.07723028746563373,FINBRA
AC,Acre,12,2005,0,0,1,NA,NA,NA,NA,NA,NA,655896,1466890,0.45,37290.27078,0.45,SISTN,1466890,37290.27078,0.02542131364996693,STN-Servico,NA,NA,NA,4300581,5547871.420841483,6.345498982965747,15.52892488438072,5.68973334585865,79.3329294312273,12,0.62,0.68,-363059.6260834435,7.44,8.16,0.9514111053453218,0,0.07928425877877682,0.07928425877877682,FINBRA
AC,Acre,12,2006,1,0,0,NA,NA,NA,NA,NA,NA,844825,1635875,0.52,44752.82835,0.52,SISTN,1635875,44752.82835,0.02735711979827309,STN-Servico,NA,NA,NA,4661807,5772363.976515285,4.046462843937926,15.568592255882097,3.141774968304434,81.82539154972024,12,0.45,0.62,-598504.0307274511,5.4,7.44,-0.6640390751127083,0,-0.05533658959272569,-0.05533658959272569,FINBRA
AC,Acre,12,2007,0,1,0,NA,NA,NA,NA,NA,NA,794953,1933479,0.41,49499.8237,0.41,SISTN,1933479,49499.8237,0.0256014281510169,STN-Servico,NA,NA,NA,5458172,6520990.239871088,12.969145161351058,15.690536799651492,4.457330433237816,85.47261962938191,12,0.52,0.45,-316861.1785224315,6.24,5.4,0.8925406142813034,0,0.07437838452344195,0.07437838452344195,FINBRA
AC,Acre,12,2008,0,0,0,NA,NA,NA,NA,NA,NA,632092,2223257,0.28,49307.20367,0.28,SISTN,2223257,49307.20367,0.02217791450561046,STN-Servico,NA,NA,NA,6410255,7246959.392004009,11.132805378148714,15.796092544654169,5.902313417525495,90.51748152607746,12,0.41,0.52,-56621.47186857801,4.92,6.24,1.1679762739620323,0,0.09733135616350269,0.09733135616350269,FINBRA
AC,Acre,12,2009,0,0,1,NA,NA,NA,NA,NA,NA,896478,2453090,0.37,55848.81658,0.37,SISTN,2453090,55848.81658,0.0227667213922033,STN-Servico,NA,NA,NA,7407821,7984445.657914413,10.176492319304488,15.893005914292678,4.312028329689999,94.42062097280385,12,0.28,0.41,227858.3425243938,3.3600000000000003,4.92,-1.1656190788760281,0,-0.097134923239669,-0.097134923239669,FINBRA
AC,Acre,12,2010,1,0,0,NA,NA,NA,NA,NA,NA,1423022,2648933,0.54,95702.93493,0.54,SISTN,2648933,95702.93493,0.03612886204747345,STN-Servico,NA,NA,NA,8342356,8560363.694490673,7.212999640186579,15.962653234889494,5.909068347266233,100,12,0.37,0.28,375528.16455345746,4.4399999999999995,3.3600000000000003,-1.9159303894813484,0,-0.15966086579011238,-0.15966086579011238,FINBRA
AC,Acre,12,2011,0,1,0,NA,NA,NA,NA,NA,NA,1498775,2975828,0.5,108506.54101,0.5,SISTN,2975828,108506.54101,0.03646263863704488,STN-Servico,NA,NA,NA,8949434,8611796.14359645,0.6008208405780424,15.968643465982838,6.503109040628852,106.50310904062886,12,0.54,0.37,33227.29566563212,6.48,4.4399999999999995,0.37148040859888487,0,0.030956700716573738,0.030956700716573738,FINBRA
